produto_id,pedido_id,quantidade,valor_unitario,valor_total,estado,frete,id_nf
5995,43127,6,398.0,2388.0,BR-AC,4776.0,78
51238,43308,6,410.0,2460.0,BR-BA,492.0,79
33976,45501,4,120.0,480.0,BR-RS,96.0,80
29510,45768,1,360.0,360.0,BR-PA,72.0,81
8707,45940,1,150.0,150.0,BR-MS,30.0,82
8673,46083,6,490.0,2940.0,BR-SP,588.0,83
75706,46133,6,100.0,600.0,BR-PA,120.0,84
13814,46161,4,550.0,2200.0,BR-MS,440.0,85
12895,47817,3,2600.0,7800.0,BR-MG,1560.0,86
53941,48064,6,280.0,1680.0,BR-MG,336.0,87
65473,48191,3,210.0,630.0,BR-MA,126.0,88
89334,48306,1,350.0,350.0,BR-AC,70.0,89
28699,48400,5,420.0,2100.0,BR-DF,420.0,90
8673,48442,5,490.0,2450.0,BR-SC,490.0,91
44424,49448,4,360.0,1440.0,BR-BA,288.0,92
18212,49523,2,120.0,240.0,BR-ES,48.0,93
54794,51015,4,350.0,1400.0,BR-BA,280.0,94
67445,51499,6,320.0,1920.0,BR-PR,384.0,95
44379,51696,3,165.0,495.0,BR-PR,99.0,96
11736,54138,6,740.0,4440.0,BR-AL,888.0,97
8707,54407,5,150.0,750.0,BR-PB,150.0,98
41262,54781,2,390.0,780.0,BR-RJ,156.0,99
72621,54993,2,179.0,358.0,BR-PE,716.0,100
60010,55140,1,90.0,90.0,BR-RJ,18.0,101
67445,56505,3,320.0,960.0,BR-RS,192.0,102
39814,56522,1,390.0,390.0,BR-RJ,78.0,103
48872,57546,1,120.0,120.0,BR-SE,24.0,104
7940,58949,5,1200.0,6000.0,BR-DF,1200.0,105
17329,59083,4,590.0,2360.0,BR-RO,472.0,106
21516,59833,5,320.0,1600.0,BR-BA,320.0,107
84176,60843,3,310.0,930.0,BR-GO,186.0,108
70673,60947,2,210.0,420.0,BR-SP,84.0,109
84176,61492,4,310.0,1240.0,BR-MG,248.0,110
13814,61672,6,550.0,3300.0,BR-DF,660.0,111
10795,61962,5,300.0,1500.0,BR-MT,300.0,112
100484,62835,5,320.0,1600.0,BR-PR,320.0,113
72621,63127,1,179.0,179.0,BR-SC,358.0,114
9397,65152,6,345.0,2070.0,BR-MT,414.0,115
31835,65613,1,399.0,399.0,BR-SE,798.0,116
91248,65616,5,45.0,225.0,BR-BA,45.0,117
83792,66697,1,390.0,390.0,BR-BR-RR,78.0,118
71946,69499,3,290.0,870.0,BR-AM,174.0,119
89334,71163,4,350.0,1400.0,BR-PA,280.0,120
53138,72042,6,690.0,4140.0,BR-DF,828.0,121
33349,72918,1,270.0,270.0,BR-SP,54.0,122
32986,73039,3,315.0,945.0,BR-RN,189.0,123
24159,73364,1,270.0,270.0,BR-AM,54.0,124
66539,73934,6,399.0,2394.0,BR-SP,4788.0,125
35129,75193,5,320.0,1600.0,BR-MS,320.0,126
84743,75489,1,120.0,120.0,BR-SE,24.0,127
79551,75926,3,290.0,870.0,BR-AM,174.0,128
37794,76642,2,105.0,210.0,BR-AM,42.0,129
56380,76691,2,179.0,358.0,BR-TO,716.0,130
93262,76832,2,450.0,900.0,BR-MA,180.0,131
4835,77086,5,560.0,2800.0,BR-SC,560.0,132
21516,77813,3,320.0,960.0,BR-BA,192.0,133
77079,78517,4,100.0,400.0,BR-PR,80.0,134
6769,79493,3,220.0,660.0,BR-RJ,132.0,135
40082,80293,6,315.0,1890.0,BR-SP,378.0,136
70240,80667,6,290.0,1740.0,BR-PA,348.0,137
15875,80712,3,490.0,1470.0,BR-BR-RR,294.0,138
3451,80745,3,250.0,750.0,BR-PR,150.0,139
100983,81263,3,350.0,1050.0,BR-AM,210.0,140
18790,81673,4,890.0,3560.0,BR-PE,712.0,141
57708,83975,4,990.0,3960.0,BR-MS,792.0,142
12609,84694,2,320.0,640.0,BR-SE,128.0,143
18212,86244,2,120.0,240.0,BR-DF,48.0,144
3829,87084,1,2630.0,2630.0,BR-PE,526.0,145
43888,87357,3,190.0,570.0,BR-MA,114.0,146
27659,88044,2,140.0,280.0,BR-ES,56.0,147
43699,88341,3,169.0,507.0,BR-AC,1014.0,148
43054,88816,2,320.0,640.0,BR-PA,128.0,149
41189,91043,6,160.0,960.0,BR-CE,192.0,150
61071,91541,6,450.0,2700.0,BR-PI,540.0,151
17395,92175,2,1400.0,2800.0,BR-RS,560.0,152
17395,92176,2,1400.0,2800.0,BR-PR,560.0,153
4553,92421,1,110.0,110.0,BR-RS,22.0,154
100460,93690,6,890.0,5340.0,BR-PB,1068.0,155
18790,93914,4,890.0,3560.0,BR-SE,712.0,156
5292,94912,3,576.0,1728.0,BR-RO,3456.0,157
49026,95642,4,240.0,960.0,BR-MA,192.0,158
75706,96547,2,100.0,200.0,BR-PE,40.0,159
79079,97356,1,320.0,320.0,BR-ES,64.0,160
53731,97470,1,430.0,430.0,BR-SP,86.0,161
10795,97607,4,300.0,1200.0,BR-PR,240.0,162
21429,97787,4,390.0,1560.0,BR-AL,312.0,163
87711,98324,3,140.0,420.0,BR-PB,84.0,164
91248,98964,5,45.0,225.0,BR-AL,45.0,165
64127,99139,3,590.0,1770.0,BR-GO,354.0,166
17395,99263,6,1400.0,8400.0,BR-RO,1680.0,167
87156,100061,6,160.0,960.0,BR-PA,192.0,168
44379,100663,5,165.0,825.0,BR-RJ,165.0,169
64127,100730,3,590.0,1770.0,BR-DF,354.0,170
91248,101091,6,45.0,270.0,BR-BR-RR,54.0,171
77558,101342,3,790.0,2370.0,BR-SP,474.0,172
75706,101555,3,100.0,300.0,BR-PB,60.0,173
56350,102044,4,245.0,980.0,BR-SP,196.0,174
6769,102559,3,220.0,660.0,BR-RO,132.0,175
6888,102780,1,350.0,350.0,BR-MA,70.0,176
14074,104623,3,450.0,1350.0,BR-PA,270.0,177
32126,104930,1,210.0,210.0,BR-PR,42.0,178
32126,106174,6,210.0,1260.0,BR-RJ,252.0,179
41262,106446,3,390.0,1170.0,BR-BA,234.0,180
37384,109092,6,700.0,4200.0,BR-MS,840.0,181
100939,110023,6,310.0,1860.0,BR-RO,372.0,182
21516,110351,3,320.0,960.0,BR-ES,192.0,183
6888,110898,4,350.0,1400.0,BR-AM,280.0,184
71770,110911,6,530.0,3180.0,BR-GO,636.0,185
8707,111760,2,150.0,300.0,BR-SE,60.0,186
33976,112781,6,120.0,720.0,BR-PE,144.0,187
68110,113601,5,790.0,3950.0,BR-PI,790.0,188
3829,113796,3,2630.0,7890.0,BR-PB,1578.0,189
39814,114148,6,390.0,2340.0,BR-PI,468.0,190
33348,114537,3,160.0,480.0,BR-ES,96.0,191
72667,114560,1,139.0,139.0,BR-SC,278.0,192
18128,115582,6,795.0,4770.0,BR-ES,954.0,193
53138,115894,1,690.0,690.0,BR-PI,138.0,194
53731,116399,6,430.0,2580.0,BR-AM,516.0,195
61356,116567,1,390.0,390.0,BR-RO,78.0,196
83009,117476,2,280.0,560.0,BR-SC,112.0,197
29510,118424,6,360.0,2160.0,BR-CE,432.0,198
7940,119487,3,1200.0,3600.0,BR-AP,720.0,199
49497,119642,3,320.0,960.0,BR-PE,192.0,200
6769,120133,4,220.0,880.0,BR-PE,176.0,201
74506,120243,6,420.0,2520.0,BR-SE,504.0,202
57815,120757,2,100.0,200.0,BR-MA,40.0,203
43054,121528,1,320.0,320.0,BR-RN,64.0,204
45878,122672,4,210.0,840.0,BR-AM,168.0,205
60010,122833,6,90.0,540.0,BR-PB,108.0,206
17258,123143,2,420.0,840.0,BR-PB,168.0,207
50330,123456,1,210.0,210.0,BR-TO,42.0,208
73038,124748,4,90.0,360.0,BR-RJ,72.0,209
17990,124882,5,3800.0,19000.0,BR-AC,3800.0,210
68110,124906,4,790.0,3160.0,BR-PA,632.0,211
24159,125385,4,270.0,1080.0,BR-MA,216.0,212
29650,125478,2,120.0,240.0,BR-GO,48.0,213
36306,128851,4,390.0,1560.0,BR-SE,312.0,214
66135,129292,5,490.0,2450.0,BR-PA,490.0,215
18212,130618,6,120.0,720.0,BR-MT,144.0,216
44379,131231,3,165.0,495.0,BR-MS,99.0,217
13705,131765,2,180.0,360.0,BR-RN,72.0,218
14836,131952,5,1100.0,5500.0,BR-BR-RR,1100.0,219
56571,132144,4,420.0,1680.0,BR-CE,336.0,220
6262,132439,3,644.0,1932.0,BR-AL,3864.0,221
82990,133289,3,450.0,1350.0,BR-AM,270.0,222
100961,134148,2,480.0,960.0,BR-AL,192.0,223
100484,134314,6,320.0,1920.0,BR-AC,384.0,224
4853,134570,4,100.0,400.0,BR-SC,80.0,225
31835,134898,6,399.0,2394.0,BR-GO,4788.0,226
13472,135623,5,450.0,2250.0,BR-GO,450.0,227
40082,136122,5,315.0,1575.0,BR-PA,315.0,228
62594,136485,6,300.0,1800.0,BR-MT,360.0,229
35129,136530,3,320.0,960.0,BR-MT,192.0,230
21244,137432,4,1120.0,4480.0,BR-GO,896.0,231
15470,138266,5,590.0,2950.0,BR-MA,590.0,232
86544,139353,3,50.0,150.0,BR-PB,30.0,233
7871,139643,6,420.0,2520.0,BR-SE,504.0,234
9981,139857,5,4000.0,20000.0,BR-BA,4000.0,235
66135,258,2,490.0,980.0,BR-TO,196.0,236
86243,385,1,350.0,350.0,BR-RO,70.0,237
33349,997,6,270.0,1620.0,BR-BR-RR,324.0,238
28699,1629,1,420.0,420.0,BR-AC,84.0,239
17329,3801,2,590.0,1180.0,BR-RJ,236.0,240
89100,3914,6,4200.0,25200.0,BR-PI,5040.0,241
44379,5060,6,165.0,990.0,BR-RN,198.0,242
83009,5129,2,280.0,560.0,BR-MS,112.0,243
75706,5546,6,100.0,600.0,BR-DF,120.0,244
33349,6171,3,270.0,810.0,BR-MT,162.0,245
36306,6198,5,390.0,1950.0,BR-AL,390.0,246
8673,6503,2,490.0,980.0,BR-BA,196.0,247
42913,8006,2,2590.0,5180.0,BR-MA,1036.0,248
7871,8679,3,420.0,1260.0,BR-AM,252.0,249
47682,10460,3,430.0,1290.0,BR-RN,258.0,250
53138,11081,1,690.0,690.0,BR-BR-RR,138.0,251
8456,11244,6,360.0,2160.0,BR-AP,432.0,252
75557,12085,4,90.0,360.0,BR-PB,72.0,253
40508,14210,4,245.0,980.0,BR-SE,196.0,254
64127,14583,2,590.0,1180.0,BR-AC,236.0,255
89334,16061,4,350.0,1400.0,BR-AM,280.0,256
18212,16227,3,120.0,360.0,BR-MG,72.0,257
45979,18408,6,280.0,1680.0,BR-PE,336.0,258
55452,18506,5,350.0,1750.0,BR-PR,350.0,259
72667,18579,6,139.0,834.0,BR-BR-RR,1668.0,260
6888,19046,3,350.0,1050.0,BR-SP,210.0,261
82990,20613,5,450.0,2250.0,BR-GO,450.0,262
8456,21264,3,360.0,1080.0,BR-BR-RR,216.0,263
86243,23253,6,350.0,2100.0,BR-PI,420.0,264
57696,25829,4,410.0,1640.0,BR-BR-RR,328.0,265
50771,26761,1,340.0,340.0,BR-AM,68.0,266
86302,27049,4,139.0,556.0,BR-AM,1112.0,267
21516,27677,1,320.0,320.0,BR-GO,64.0,268
37384,27809,6,700.0,4200.0,BR-SP,840.0,269
6742,27891,3,850.0,2550.0,BR-PA,510.0,270
25562,28295,6,320.0,1920.0,BR-TO,384.0,271
4853,28812,1,100.0,100.0,BR-BA,20.0,272
72621,28816,6,179.0,1074.0,BR-RJ,2148.0,273
43699,29129,4,169.0,676.0,BR-TO,1352.0,274
11218,29289,5,250.0,1250.0,BR-AP,250.0,275
38723,30199,5,80.0,400.0,BR-MT,80.0,276
71770,30571,3,530.0,1590.0,BR-ES,318.0,277
13906,30901,3,340.0,1020.0,BR-BR-RR,204.0,278
100983,31071,3,350.0,1050.0,BR-RJ,210.0,279
32986,31100,5,315.0,1575.0,BR-MS,315.0,280
87711,31619,4,140.0,560.0,BR-SC,112.0,281
48483,33068,6,400.0,2400.0,BR-RJ,480.0,282
5412,34058,2,788.0,1576.0,BR-PR,3152.0,283
49497,35888,1,320.0,320.0,BR-AL,64.0,284
13472,35975,6,450.0,2700.0,BR-MA,540.0,285
45979,36081,4,280.0,1120.0,BR-SE,224.0,286
86243,36571,6,350.0,2100.0,BR-PE,420.0,287
9981,36768,4,4000.0,16000.0,BR-ES,3200.0,288
66255,37506,4,390.0,1560.0,BR-PA,312.0,289
36195,37547,6,110.0,660.0,BR-MS,132.0,290
77558,37746,4,790.0,3160.0,BR-PI,632.0,291
9809,38037,2,260.0,520.0,BR-RO,104.0,292
87711,38053,5,140.0,700.0,BR-RJ,140.0,293
53731,38991,5,430.0,2150.0,BR-RN,430.0,294
87156,39234,4,160.0,640.0,BR-ES,128.0,295
57696,39994,1,410.0,410.0,BR-SE,82.0,296
36195,40358,5,110.0,550.0,BR-DF,110.0,297
77558,40834,2,790.0,1580.0,BR-MS,316.0,298
29510,40954,6,360.0,2160.0,BR-RO,432.0,299
43699,41667,6,169.0,1014.0,BR-DF,2028.0,300
32986,41751,6,315.0,1890.0,BR-PE,378.0,301
70813,42047,6,120.0,720.0,BR-RJ,144.0,302
12812,42287,2,320.0,640.0,BR-CE,128.0,303
37384,43075,4,700.0,2800.0,BR-SE,560.0,304
65473,43365,5,210.0,1050.0,BR-RJ,210.0,305
97039,43522,2,320.0,640.0,BR-AL,128.0,306
64127,43774,2,590.0,1180.0,BR-AC,236.0,307
6742,45253,2,850.0,1700.0,BR-SP,340.0,308
40082,45395,1,315.0,315.0,BR-RO,63.0,309
39368,45706,6,279.0,1674.0,BR-PA,3348.0,310
7940,45911,1,1200.0,1200.0,BR-PI,240.0,311
86243,46132,1,350.0,350.0,BR-PR,70.0,312
100481,47640,5,410.0,2050.0,BR-BR-RR,410.0,313
61356,47721,6,390.0,2340.0,BR-GO,468.0,314
53138,48553,5,690.0,3450.0,BR-SP,690.0,315
27659,49498,1,140.0,140.0,BR-SP,28.0,316
49026,49565,6,240.0,1440.0,BR-AL,288.0,317
13906,49755,5,340.0,1700.0,BR-MA,340.0,318
4553,52936,5,110.0,550.0,BR-BA,110.0,319
97039,54104,2,320.0,640.0,BR-RS,128.0,320
29012,54346,1,525.0,525.0,BR-AL,105.0,321
43054,54637,3,320.0,960.0,BR-MA,192.0,322
29893,55620,4,420.0,1680.0,BR-GO,336.0,323
24159,56562,5,270.0,1350.0,BR-PI,270.0,324
14836,57767,3,1100.0,3300.0,BR-SP,660.0,325
12812,58227,3,320.0,960.0,BR-BR-RR,192.0,326
17258,59057,5,420.0,2100.0,BR-AP,420.0,327
53138,59403,2,690.0,1380.0,BR-BA,276.0,328
72667,60151,3,139.0,417.0,BR-RS,834.0,329
6262,61427,3,644.0,1932.0,BR-SE,3864.0,330
17258,61487,4,420.0,1680.0,BR-RN,336.0,331
15875,63175,3,490.0,1470.0,BR-ES,294.0,332
36195,63477,5,110.0,550.0,BR-RO,110.0,333
86544,63670,4,50.0,200.0,BR-AC,40.0,334
29650,64170,5,120.0,600.0,BR-PE,120.0,335
79079,67318,1,320.0,320.0,BR-SC,64.0,336
50771,67812,3,340.0,1020.0,BR-PB,204.0,337
12751,68666,1,400.0,400.0,BR-RO,80.0,338
74506,68964,5,420.0,2100.0,BR-PA,420.0,339
71946,69314,4,290.0,1160.0,BR-MS,232.0,340
75557,69917,1,90.0,90.0,BR-SP,18.0,341
100484,70057,4,320.0,1280.0,BR-AM,256.0,342
15470,70159,2,590.0,1180.0,BR-MS,236.0,343
71946,71259,4,290.0,1160.0,BR-TO,232.0,344
25562,72637,3,320.0,960.0,BR-RS,192.0,345
3829,72959,4,2630.0,10520.0,BR-MS,2104.0,346
58245,73153,1,120.0,120.0,BR-MT,24.0,347
18212,73344,4,120.0,480.0,BR-RN,96.0,348
97039,75154,2,320.0,640.0,BR-BA,128.0,349
12609,75724,3,320.0,960.0,BR-MS,192.0,350
30263,75795,2,135.0,270.0,BR-PE,54.0,351
44424,76003,1,360.0,360.0,BR-PR,72.0,352
31651,76352,2,180.0,360.0,BR-PB,72.0,353
19432,77161,4,190.0,760.0,BR-MG,152.0,354
86302,78468,2,139.0,278.0,BR-SP,556.0,355
56380,80657,6,179.0,1074.0,BR-PI,2148.0,356
14420,81252,3,690.0,2070.0,BR-ES,414.0,357
4853,81614,6,100.0,600.0,BR-TO,120.0,358
14074,81753,5,450.0,2250.0,BR-BR-RR,450.0,359
21429,81789,1,390.0,390.0,BR-AC,78.0,360
93262,81971,1,450.0,450.0,BR-PA,90.0,361
20029,82800,1,294.0,294.0,BR-DF,588.0,362
14836,83159,1,1100.0,1100.0,BR-SE,220.0,363
33348,83708,4,160.0,640.0,BR-MG,128.0,364
53731,83871,6,430.0,2580.0,BR-CE,516.0,365
70240,83914,6,290.0,1740.0,BR-MA,348.0,366
51238,83925,5,410.0,2050.0,BR-BR-RR,410.0,367
17258,84831,3,420.0,1260.0,BR-RS,252.0,368
46573,85046,1,350.0,350.0,BR-RJ,70.0,369
82990,85659,6,450.0,2700.0,BR-AL,540.0,370
85154,85905,6,420.0,2520.0,BR-PA,504.0,371
16634,86867,2,480.0,960.0,BR-AM,192.0,372
18212,86918,2,120.0,240.0,BR-AM,48.0,373
54794,89000,1,350.0,350.0,BR-MG,70.0,374
46573,89463,5,350.0,1750.0,BR-RS,350.0,375
57696,90158,1,410.0,410.0,BR-MT,82.0,376
84743,91785,1,120.0,120.0,BR-CE,24.0,377
32126,93834,5,210.0,1050.0,BR-MG,210.0,378
6699,94195,5,320.0,1600.0,BR-MT,320.0,379
22407,95475,5,200.0,1000.0,BR-RN,200.0,380
8673,96011,2,490.0,980.0,BR-BA,196.0,381
56571,96185,6,420.0,2520.0,BR-PB,504.0,382
3451,96428,3,250.0,750.0,BR-RS,150.0,383
13472,96551,1,450.0,450.0,BR-SC,90.0,384
17258,96581,3,420.0,1260.0,BR-ES,252.0,385
48483,96584,4,400.0,1600.0,BR-BA,320.0,386
6742,97489,2,850.0,1700.0,BR-CE,340.0,387
61071,97935,3,450.0,1350.0,BR-AL,270.0,388
100481,98442,4,410.0,1640.0,BR-PI,328.0,389
44207,100140,1,290.0,290.0,BR-PI,58.0,390
9981,100584,2,4000.0,8000.0,BR-DF,1600.0,391
50478,100708,1,315.0,315.0,BR-PE,63.0,392
88368,100966,6,250.0,1500.0,BR-RS,300.0,393
20029,101184,5,294.0,1470.0,BR-MT,294.0,394
44207,101748,1,290.0,290.0,BR-RN,58.0,395
83866,102584,2,990.0,1980.0,BR-GO,396.0,396
83792,102700,2,390.0,780.0,BR-AM,156.0,397
86302,103184,1,139.0,139.0,BR-MA,278.0,398
31835,104206,2,399.0,798.0,BR-GO,1596.0,399
7940,104482,4,1200.0,4800.0,BR-RS,960.0,400
86845,105725,3,110.0,330.0,BR-RN,66.0,401
10795,105941,1,300.0,300.0,BR-PI,60.0,402
7729,106256,6,360.0,2160.0,BR-RO,432.0,403
35682,106393,6,250.0,1500.0,BR-SC,300.0,404
73038,106557,4,90.0,360.0,BR-MA,72.0,405
50478,106699,5,315.0,1575.0,BR-SP,315.0,406
31651,107459,5,180.0,900.0,BR-RJ,180.0,407
83792,108417,1,390.0,390.0,BR-GO,78.0,408
64127,108664,3,590.0,1770.0,BR-AL,354.0,409
17258,108689,1,420.0,420.0,BR-PA,84.0,410
61356,110454,4,390.0,1560.0,BR-AL,312.0,411
82990,111247,1,450.0,450.0,BR-DF,90.0,412
28699,111279,5,420.0,2100.0,BR-BR-RR,420.0,413
12812,111454,6,320.0,1920.0,BR-MT,384.0,414
51238,111721,3,410.0,1230.0,BR-DF,246.0,415
73692,112420,3,90.0,270.0,BR-TO,54.0,416
9397,113225,1,345.0,345.0,BR-PE,69.0,417
39368,113914,3,279.0,837.0,BR-PI,1674.0,418
24159,114745,5,270.0,1350.0,BR-PR,270.0,419
9397,115040,4,345.0,1380.0,BR-TO,276.0,420
33348,115210,4,160.0,640.0,BR-RS,128.0,421
8691,115650,4,180.0,720.0,BR-CE,144.0,422
15470,115875,5,590.0,2950.0,BR-ES,590.0,423
49497,115989,4,320.0,1280.0,BR-PI,256.0,424
84743,116001,6,120.0,720.0,BR-SE,144.0,425
44379,116157,2,165.0,330.0,BR-AC,66.0,426
21244,116927,3,1120.0,3360.0,BR-TO,672.0,427
6381,117747,2,586.0,1172.0,BR-MG,2344.0,428
71190,117894,1,360.0,360.0,BR-MA,72.0,429
82257,119431,5,1600.0,8000.0,BR-PB,1600.0,430
33976,120794,4,120.0,480.0,BR-PA,96.0,431
100481,121170,4,410.0,1640.0,BR-SC,328.0,432
57696,122508,6,410.0,2460.0,BR-PB,492.0,433
4853,122545,3,100.0,300.0,BR-RN,60.0,434
14836,123941,6,1100.0,6600.0,BR-GO,1320.0,435
100961,124940,2,480.0,960.0,BR-BR-RR,192.0,436
84176,125043,1,310.0,310.0,BR-BA,62.0,437
38723,125834,1,80.0,80.0,BR-AP,16.0,438
35129,125860,2,320.0,640.0,BR-AM,128.0,439
15470,126383,3,590.0,1770.0,BR-RS,354.0,440
7729,127881,6,360.0,2160.0,BR-MS,432.0,441
79551,128519,4,290.0,1160.0,BR-SC,232.0,442
74506,131091,4,420.0,1680.0,BR-MA,336.0,443
6888,131182,5,350.0,1750.0,BR-SC,350.0,444
59337,132488,2,390.0,780.0,BR-ES,156.0,445
59337,132778,1,390.0,390.0,BR-MS,78.0,446
36306,133275,1,390.0,390.0,BR-SE,78.0,447
87711,133343,2,140.0,280.0,BR-AM,56.0,448
75557,133442,5,90.0,450.0,BR-GO,90.0,449
7193,133463,6,320.0,1920.0,BR-AL,384.0,450
51314,134133,3,410.0,1230.0,BR-GO,246.0,451
32126,135465,6,210.0,1260.0,BR-PI,252.0,452
3829,135613,4,2630.0,10520.0,BR-SP,2104.0,453
61071,135962,6,450.0,2700.0,BR-PE,540.0,454
98964,136343,2,280.0,560.0,BR-AC,112.0,455
4835,137806,2,560.0,1120.0,BR-BR-RR,224.0,456
83009,138508,5,280.0,1400.0,BR-MS,280.0,457
43054,139247,3,320.0,960.0,BR-PB,192.0,458
66539,218,1,399.0,399.0,BR-PB,798.0,459
85154,228,5,420.0,2100.0,BR-PB,420.0,460
53458,550,3,450.0,1350.0,BR-PI,270.0,461
9809,1332,6,260.0,1560.0,BR-PB,312.0,462
8673,2878,1,490.0,490.0,BR-AM,98.0,463
75557,2971,4,90.0,360.0,BR-PE,72.0,464
20029,3032,5,294.0,1470.0,BR-MS,294.0,465
100484,3679,6,320.0,1920.0,BR-PI,384.0,466
32890,3857,2,480.0,960.0,BR-MA,192.0,467
100961,5238,5,480.0,2400.0,BR-TO,480.0,468
70813,5355,1,120.0,120.0,BR-PE,24.0,469
18212,5484,3,120.0,360.0,BR-MA,72.0,470
95805,5547,1,100.0,100.0,BR-CE,20.0,471
50771,5778,4,340.0,1360.0,BR-MT,272.0,472
47405,5939,3,310.0,930.0,BR-PA,186.0,473
19432,5998,5,190.0,950.0,BR-SC,190.0,474
50478,6066,2,315.0,630.0,BR-PI,126.0,475
12812,6654,6,320.0,1920.0,BR-SP,384.0,476
4553,6843,3,110.0,330.0,BR-AC,66.0,477
12751,7054,5,400.0,2000.0,BR-GO,400.0,478
61356,8548,4,390.0,1560.0,BR-BA,312.0,479
40082,9510,6,315.0,1890.0,BR-TO,378.0,480
39814,9556,1,390.0,390.0,BR-RJ,78.0,481
62594,10156,2,300.0,600.0,BR-TO,120.0,482
23575,10733,6,210.0,1260.0,BR-BA,252.0,483
