pedido_id,produto_id,vendedor_id,data_compra,total
378,48483,2,30/01/2021,400.0
381,87156,1,17/06/2019,320.0
385,86243,2,08/02/2019,350.0
396,36306,2,08/05/2019,780.0
400,25562,4,08/12/2020,640.0
407,44424,5,19/10/2019,720.0
415,9981,5,21/12/2020,16000.0
417,55452,4,11/02/2020,700.0
433,29012,4,28/10/2019,2100.0
434,40082,4,11/12/2019,1260.0
436,45878,4,12/09/2019,1050.0
437,6888,1,02/12/2020,2100.0
447,100961,2,01/05/2020,2880.0
450,5995,4,30/11/2020,398.0
453,82990,5,17/05/2020,1800.0
456,13814,4,04/02/2021,3300.0
458,100481,4,18/05/2019,820.0
474,86243,5,08/05/2019,1050.0
476,37384,1,25/11/2020,3500.0
481,100961,1,14/03/2019,2880.0
485,14836,1,25/12/2019,2200.0
487,58245,3,04/04/2020,360.0
494,27546,1,11/02/2020,1008.0
499,12812,2,25/10/2020,640.0
504,39368,4,19/10/2019,1116.0
505,56380,2,18/05/2019,895.0
517,49497,2,02/11/2020,1280.0
524,93262,3,16/07/2020,1350.0
526,6888,0,25/11/2020,1400.0
538,27546,5,18/09/2019,1680.0
550,53458,1,27/02/2019,1350.0
558,5412,2,01/03/2020,3940.0
560,60010,2,11/07/2019,540.0
564,81822,4,13/12/2020,1950.0
576,47682,4,15/05/2020,1290.0
581,38,3,19/02/2021,160.0
583,98964,2,18/12/2020,840.0
587,68110,1,25/08/2019,3950.0
592,91248,0,26/06/2020,180.0
594,7940,1,19/10/2019,2400.0
608,89100,3,05/01/2021,16800.0
627,22568,5,25/01/2021,1470.0
629,3865,1,19/11/2019,26000.0
644,17395,2,07/11/2020,4200.0
652,32126,1,19/07/2019,210.0
656,12895,5,15/08/2020,15600.0
659,15470,2,16/09/2020,2360.0
662,6137,2,16/06/2020,300.0
669,53138,5,25/04/2019,690.0
691,29301,1,17/05/2020,540.0
704,13472,4,21/12/2020,900.0
712,24159,2,02/12/2020,810.0
714,73038,2,21/06/2020,90.0
719,91498,4,11/05/2020,650.0
729,12895,5,12/09/2019,15600.0
732,13472,3,06/10/2020,900.0
733,83009,2,21/12/2020,1120.0
736,64127,3,28/05/2019,590.0
740,89100,5,01/12/2019,16800.0
741,100484,2,27/09/2019,1920.0
745,25562,2,25/07/2020,960.0
756,61071,5,28/10/2019,450.0
763,21244,2,26/12/2020,6720.0
764,47475,2,17/01/2020,2450.0
772,73038,5,04/02/2021,360.0
777,37384,1,27/09/2019,2800.0
783,32890,5,02/06/2020,480.0
787,46573,1,06/02/2020,1750.0
799,35129,4,13/02/2021,320.0
811,56571,4,11/12/2019,2520.0
823,49497,5,27/09/2019,1280.0
825,91248,1,27/01/2020,135.0
830,91498,1,19/10/2019,520.0
831,16634,1,08/01/2020,1440.0
839,29893,5,11/12/2019,1260.0
840,9809,2,05/01/2021,780.0
846,55051,5,20/10/2019,2280.0
848,53941,4,01/12/2019,560.0
853,68110,2,11/03/2020,3950.0
854,87156,4,24/11/2019,800.0
858,61071,2,25/07/2020,2700.0
862,36195,5,21/11/2020,110.0
865,64127,5,25/04/2019,2950.0
872,21516,2,11/06/2020,1600.0
901,21429,2,25/02/2020,2340.0
902,3865,3,30/03/2020,26000.0
911,95805,2,12/09/2019,200.0
912,54794,1,30/03/2020,700.0
920,13705,1,26/02/2020,720.0
922,50771,5,11/08/2020,2040.0
942,8456,4,27/04/2020,1440.0
944,73038,2,30/10/2020,360.0
949,65473,5,12/10/2019,1260.0
959,5292,3,16/02/2020,1728.0
973,14074,2,03/09/2019,1350.0
975,45878,4,05/10/2019,1050.0
977,61071,4,08/01/2020,1350.0
982,21244,3,23/04/2020,1120.0
983,71946,4,25/01/2021,580.0
987,70673,5,25/08/2019,840.0
995,24159,2,27/01/2020,540.0
997,33349,2,08/02/2019,1620.0
999,71190,5,09/07/2020,1440.0
1004,5292,1,03/01/2020,1152.0
1010,91498,1,25/01/2021,650.0
1011,62594,1,21/06/2020,900.0
1012,12751,2,11/06/2020,2400.0
1027,8456,2,25/01/2021,2160.0
1028,32890,1,17/01/2020,2400.0
1031,41518,4,19/11/2019,1300.0
1032,18751,4,17/12/2019,990.0
1033,13472,1,18/09/2019,1800.0
1034,11218,5,16/02/2020,750.0
1036,86302,2,16/07/2020,556.0
1044,89334,1,12/06/2020,1750.0
1045,17990,3,05/10/2019,7600.0
1054,39368,2,30/09/2020,837.0
1066,100939,4,22/01/2020,930.0
1080,50478,1,07/06/2020,1890.0
1090,30263,2,04/09/2020,675.0
1092,22407,2,05/05/2020,600.0
1096,45878,3,28/10/2019,1050.0
1101,27659,3,25/07/2020,420.0
1109,29893,2,12/11/2019,420.0
1110,87711,4,15/08/2019,140.0
1115,10086,2,21/05/2020,4500.0
1120,59784,3,26/06/2020,1950.0
1124,27546,4,08/11/2020,1344.0
1131,57708,3,26/02/2020,4950.0
1133,36195,5,16/11/2020,660.0
1140,18751,1,25/11/2020,990.0
1141,14836,1,15/03/2020,1100.0
1148,46573,5,30/10/2020,1750.0
1149,43888,2,11/07/2019,950.0
1154,21244,4,25/03/2020,6720.0
1157,84176,2,11/08/2020,1860.0
1163,27546,1,15/03/2020,1344.0
1167,44207,2,12/10/2019,580.0
1174,4307,3,05/01/2019,30875.0
1178,31651,2,25/11/2020,720.0
1186,31835,5,04/04/2020,1596.0
1208,3451,5,13/01/2020,750.0
1213,77558,1,16/06/2020,1580.0
1214,100932,5,21/05/2020,7800.0
1222,21516,1,08/09/2020,320.0
1233,57696,4,04/12/2020,410.0
1237,67445,3,07/06/2020,1600.0
1240,29893,4,20/10/2020,420.0
1245,86243,1,30/01/2021,1050.0
1250,100484,4,17/01/2020,1280.0
1255,32890,1,30/11/2020,2400.0
1266,10086,1,23/04/2020,2250.0
1267,70813,1,11/08/2020,120.0
1269,8456,1,06/12/2019,720.0
1270,64127,2,20/07/2020,590.0
1271,12895,3,26/02/2020,5200.0
1275,61356,1,11/05/2020,780.0
1284,9981,1,06/10/2020,4000.0
1289,12812,5,18/05/2019,1280.0
1297,14420,1,06/08/2019,4140.0
1301,30211,1,30/07/2020,1520.0
1309,44207,1,19/11/2019,1160.0
1313,13716,3,17/12/2019,1350.0
1322,48483,4,18/04/2020,400.0
1332,9809,4,27/02/2019,1560.0
1333,86544,5,12/10/2019,150.0
1341,24159,3,11/04/2019,1620.0
1351,100481,2,30/09/2020,1640.0
1372,88368,0,16/06/2020,1000.0
1373,60010,5,25/12/2019,360.0
1383,56571,3,12/10/2019,2520.0
1386,30211,2,20/10/2019,2280.0
1391,4307,4,20/10/2020,12350.0
1399,22407,1,05/01/2019,600.0
1413,18751,2,06/12/2019,5940.0
1418,40508,2,13/01/2020,245.0
1423,7871,5,08/12/2020,420.0
1426,16634,1,21/05/2020,480.0
1427,45878,5,13/12/2020,1050.0
1430,14074,4,21/11/2020,450.0
1431,18128,4,26/06/2020,1590.0
1434,35682,1,23/04/2020,500.0
1437,73692,3,13/04/2020,180.0
1444,17990,1,01/05/2020,11400.0
1454,13472,3,17/12/2019,2250.0
1459,55051,3,25/11/2020,2280.0
1461,98640,3,06/06/2019,990.0
1462,48872,2,07/06/2020,600.0
1463,32126,3,23/04/2020,840.0
1466,13472,1,13/04/2020,2250.0
1485,56350,5,08/11/2020,1470.0
1510,66135,4,27/05/2020,1960.0
1511,48483,1,16/02/2020,400.0
1514,84176,1,23/04/2020,1240.0
1530,29510,1,02/11/2020,1080.0
1534,67445,4,21/07/2020,1280.0
1535,71946,3,31/12/2020,870.0
1546,48872,2,11/08/2020,360.0
1551,61356,1,21/05/2020,1560.0
1554,71770,5,18/04/2020,3180.0
1556,29893,3,21/02/2020,1260.0
1560,8673,3,19/07/2019,1960.0
1571,28699,1,02/11/2020,1260.0
1575,4553,5,05/01/2021,550.0
1577,57815,5,15/10/2020,200.0
1593,83792,1,13/09/2020,780.0
1595,43888,2,25/01/2021,570.0
1596,12751,4,17/12/2019,1600.0
1604,43888,1,06/11/2019,1140.0
1623,18212,2,07/08/2020,240.0
1625,43888,5,16/02/2020,760.0
1629,28699,1,08/02/2019,420.0
1634,86302,5,05/01/2021,139.0
1636,61071,2,27/05/2020,900.0
1652,3820,4,05/01/2019,834.0
1655,42913,4,12/09/2019,12950.0
1658,41262,3,07/06/2020,1560.0
1667,74506,3,06/10/2020,420.0
1676,70673,1,25/11/2020,630.0
1685,29893,1,25/07/2020,2100.0
1687,8707,2,08/12/2020,600.0
1689,39368,4,03/01/2020,1674.0
1696,30263,4,16/02/2020,135.0
1701,91498,4,26/06/2020,520.0
1709,48483,5,28/07/2019,1600.0
1711,93262,3,25/12/2019,900.0
1717,46573,4,11/03/2020,1400.0
1730,27659,5,12/10/2019,420.0
1733,21429,1,20/01/2021,390.0
1740,45878,1,11/03/2020,1050.0
1746,57696,1,11/07/2019,1640.0
1758,77079,3,08/11/2020,400.0
1764,61071,5,25/04/2019,900.0
1772,86302,5,01/07/2019,834.0
1775,4835,5,28/11/2019,2800.0
1785,3829,4,17/05/2020,7890.0
1788,62594,2,25/07/2020,600.0
1789,48872,3,21/12/2020,360.0
1790,66539,4,27/08/2020,399.0
1793,80644,4,13/01/2020,4950.0
1796,50478,5,01/12/2019,1260.0
1797,33976,5,13/12/2020,720.0
1802,25562,4,06/02/2020,1280.0
1803,10086,5,20/10/2019,4500.0
1813,57815,5,28/05/2019,400.0
1821,91248,3,30/01/2021,135.0
1833,13472,5,03/09/2019,900.0
1837,100932,1,21/07/2020,3900.0
1838,45878,1,13/01/2020,1050.0
1843,75706,3,30/07/2020,300.0
1844,43888,3,05/10/2019,570.0
1852,83866,5,12/06/2020,4950.0
1857,3865,2,01/07/2019,6500.0
1869,21429,2,04/02/2021,1560.0
1874,5292,5,05/10/2019,3456.0
1888,100983,0,25/11/2020,1750.0
1896,57696,1,04/12/2020,1640.0
1897,48872,5,13/01/2020,480.0
1898,12812,5,16/11/2020,1920.0
1905,79079,5,03/09/2019,320.0
1910,51238,5,07/06/2020,1230.0
1913,55452,0,16/12/2020,1750.0
1916,8707,3,04/04/2020,150.0
1920,37794,1,06/11/2019,210.0
1926,27546,1,01/02/2020,336.0
1937,36195,3,01/07/2019,440.0
1944,41262,2,11/02/2020,1560.0
1947,7940,2,01/05/2020,1200.0
1953,3865,1,18/09/2019,6500.0
1955,50330,3,18/12/2020,840.0
1958,82990,3,21/07/2020,1800.0
1963,18751,3,30/03/2020,3960.0
1965,77558,4,02/11/2020,4740.0
1974,7193,3,11/05/2020,1920.0
1975,100460,1,08/12/2020,1780.0
1978,18751,3,25/07/2020,2970.0
1985,49026,5,08/01/2020,1200.0
1987,41262,3,28/10/2019,780.0
1995,100481,1,22/09/2020,1640.0
2001,38723,2,01/07/2019,480.0
2003,32986,5,28/11/2019,315.0
2010,11218,1,23/04/2020,1000.0
2011,86302,4,23/04/2020,417.0
2013,100939,1,17/12/2019,930.0
2018,15470,1,16/02/2020,2360.0
2019,24159,1,02/11/2020,270.0
2029,68110,5,16/07/2020,1580.0
2032,65473,3,28/03/2019,840.0
2035,22407,4,06/11/2019,800.0
2042,98640,5,30/11/2020,5940.0
2043,41189,2,26/06/2020,160.0
2050,53731,2,27/01/2020,1720.0
2051,18751,2,20/08/2020,5940.0
2059,6699,1,11/03/2020,1600.0
2064,44207,1,11/03/2020,1160.0
2069,41189,4,12/10/2019,160.0
2071,42913,4,05/05/2020,7770.0
2078,4835,3,17/06/2019,1120.0
2080,86302,2,06/12/2019,139.0
2095,39814,4,26/06/2020,2340.0
2096,15470,1,20/03/2020,2360.0
2103,13472,4,22/09/2020,900.0
2109,43888,1,11/03/2020,1140.0
2116,15875,5,06/06/2019,2450.0
2126,40082,3,11/03/2020,630.0
2127,100481,3,18/12/2020,820.0
2134,6742,2,21/02/2020,4250.0
2138,13472,4,24/11/2019,2250.0
2145,66255,2,19/07/2019,1170.0
2149,5567,4,08/11/2020,1050.0
2151,46573,3,20/10/2020,1400.0
2159,2706,3,19/11/2019,1180.0
2161,54794,3,07/06/2020,700.0
2163,57696,5,11/08/2020,1230.0
2166,14420,3,06/10/2020,1380.0
2170,18751,1,11/02/2020,1980.0
2177,7940,1,13/01/2020,2400.0
2183,64127,5,21/06/2020,3540.0
2190,17329,2,09/04/2020,1770.0
2201,37384,2,12/06/2020,1400.0
2204,61356,2,13/09/2020,1170.0
2206,18751,2,18/09/2019,5940.0
2207,12812,2,20/10/2020,640.0
2209,29893,2,30/07/2020,2520.0
2213,47405,3,25/01/2021,620.0
2217,41189,5,28/05/2019,320.0
2218,73692,1,25/04/2019,450.0
2219,38723,3,02/06/2020,320.0
2221,41518,3,11/12/2019,780.0
2224,13705,4,27/09/2019,900.0
2226,47405,5,12/10/2019,1550.0
2229,32890,4,22/01/2020,480.0
2231,68110,5,30/03/2020,3160.0
2233,6742,3,21/06/2020,2550.0
2248,39814,2,31/12/2020,1170.0
2252,84176,2,13/01/2020,1550.0
2263,10086,5,07/06/2019,3750.0
2264,14836,2,14/03/2019,4400.0
2268,40082,3,15/01/2021,945.0
2269,57815,5,06/08/2019,300.0
2291,17990,5,05/05/2020,3800.0
2302,49026,4,17/01/2020,720.0
2309,47475,2,04/09/2020,1960.0
2312,33976,2,22/09/2020,360.0
2319,40508,2,03/01/2020,1225.0
2327,39814,3,01/12/2019,1950.0
2339,15470,3,16/11/2020,2950.0
2340,21429,1,06/02/2020,1170.0
2343,58245,2,18/04/2020,360.0
2344,65473,1,13/12/2020,420.0
2347,97039,3,18/05/2019,1920.0
2349,3451,5,03/01/2020,1000.0
2355,6699,1,07/08/2020,1600.0
2364,33349,0,30/11/2020,1620.0
2381,33976,2,18/09/2019,480.0
2385,3820,5,27/09/2019,417.0
2388,40082,3,15/05/2020,945.0
2389,79551,4,08/11/2020,1160.0
2391,18212,3,08/09/2020,120.0
2400,77558,3,18/12/2020,2370.0
2409,83795,1,17/06/2019,1240.0
2415,73692,2,07/08/2020,540.0
2416,93262,5,04/12/2020,900.0
2430,41518,4,18/04/2020,260.0
2431,75557,5,28/11/2019,270.0
2436,5995,1,01/02/2020,1592.0
2439,83009,2,25/01/2021,280.0
2446,6888,5,27/09/2019,2100.0
2454,44424,5,27/04/2020,1800.0
2458,8673,3,20/10/2020,980.0
2461,98964,1,27/05/2020,1680.0
2466,48872,4,08/01/2020,600.0
2470,29012,2,05/01/2019,1575.0
2471,74864,4,20/08/2020,260.0
2474,13906,5,02/11/2020,680.0
2477,43699,5,15/08/2020,507.0
2479,22568,5,15/08/2019,980.0
2485,32890,2,27/04/2020,1440.0
2494,87156,1,02/07/2020,960.0
2498,89100,1,30/01/2021,21000.0
2501,23575,1,11/02/2020,1050.0
2502,13906,1,28/11/2019,1020.0
2518,82257,4,06/02/2020,4800.0
2524,86302,5,08/05/2019,695.0
2525,43888,1,25/03/2020,570.0
2529,50330,5,11/04/2019,1050.0
2533,13716,1,08/01/2020,450.0
2538,13705,1,18/04/2020,720.0
2542,59784,3,01/02/2020,1560.0
2549,3865,4,22/01/2020,13000.0
2556,55051,1,11/04/2019,760.0
2558,17329,1,30/10/2020,1180.0
2559,11218,3,17/06/2019,1000.0
2560,13814,3,01/07/2019,3300.0
2561,57696,4,09/04/2020,820.0
2563,21429,1,13/04/2020,1170.0
2565,73692,1,24/11/2019,90.0
2576,27659,1,25/11/2020,420.0
2583,59784,4,30/01/2021,780.0
2597,32986,1,13/04/2020,1890.0
2598,5292,1,01/07/2019,3456.0
2599,19432,2,26/12/2019,570.0
2606,66135,5,28/11/2019,2940.0
2612,33976,1,11/12/2019,240.0
2619,12812,3,12/11/2019,320.0
2621,29650,5,03/09/2019,240.0
2626,8673,2,12/11/2019,2450.0
2635,8673,3,23/04/2020,490.0
2638,12609,5,05/10/2019,640.0
2641,61071,5,06/11/2019,450.0
2645,100939,3,01/07/2019,1550.0
2648,21516,4,15/08/2020,640.0
2651,30211,3,04/04/2020,1900.0
2658,5567,4,28/03/2019,210.0
2659,86302,5,27/09/2019,556.0
2662,79551,5,08/05/2019,290.0
2667,10795,1,27/04/2020,900.0
2671,44424,1,28/11/2019,720.0
2672,10795,2,16/08/2019,600.0
2676,33348,4,02/12/2020,480.0
2678,100484,1,04/02/2021,1280.0
2686,83009,4,06/08/2019,840.0
2690,46573,1,20/03/2020,1750.0
2693,65473,5,16/08/2019,210.0
2703,49497,1,13/02/2021,1280.0
2712,3865,3,08/05/2019,32500.0
2732,6742,2,16/11/2020,2550.0
2733,18128,1,30/03/2020,795.0
2739,19432,1,21/11/2020,760.0
2743,86845,2,06/03/2020,660.0
2751,6381,5,01/12/2019,3516.0
2754,21244,5,05/10/2019,2240.0
2765,22407,5,11/07/2019,800.0
2770,25562,3,18/12/2020,1280.0
2773,71946,5,11/12/2019,1740.0
2774,31651,3,20/03/2020,720.0
2775,21244,2,01/12/2019,5600.0
2780,75706,2,27/08/2020,600.0
2781,50478,1,21/02/2020,315.0
2789,100460,5,17/06/2019,890.0
2797,61356,1,07/06/2020,390.0
2804,56571,4,01/12/2019,1260.0
2811,16634,3,26/12/2020,1440.0
2820,6262,2,22/09/2020,3864.0
2821,29012,2,12/06/2020,2625.0
2822,27336,2,27/08/2020,250.0
2823,68110,1,02/06/2020,790.0
2827,86845,3,20/10/2020,220.0
2830,51314,4,26/06/2020,820.0
2836,79551,5,08/01/2020,1160.0
2851,5292,3,25/11/2020,1152.0
2854,100932,3,13/02/2021,23400.0
2856,36195,5,13/02/2021,330.0
2860,10795,4,12/09/2019,900.0
2867,12609,1,22/09/2020,960.0
2876,50330,1,30/10/2020,1260.0
2878,8673,5,27/02/2019,490.0
2882,79551,2,19/07/2019,870.0
2889,70240,3,30/11/2020,290.0
2897,11736,2,16/08/2019,740.0
2906,41262,1,27/01/2020,1170.0
2910,80644,5,02/06/2020,1980.0
2912,17990,1,23/04/2020,7600.0
2916,3451,1,02/07/2020,1000.0
2917,35129,1,15/01/2021,320.0
2921,4307,3,20/08/2020,30875.0
2922,100939,1,26/12/2020,310.0
2931,32126,5,21/02/2020,840.0
2932,100932,5,26/12/2019,11700.0
2936,83009,5,24/11/2019,1400.0
2937,54794,3,30/01/2021,350.0
2941,18212,4,17/05/2020,360.0
2945,58245,1,03/08/2020,480.0
2951,5412,3,02/06/2020,788.0
2952,100961,3,05/10/2019,960.0
2958,8707,4,21/11/2020,750.0
2971,75557,5,27/02/2019,360.0
2975,12751,5,11/07/2019,800.0
2980,72621,1,05/01/2019,537.0
2984,54794,5,08/05/2019,1400.0
2988,43699,4,30/01/2021,845.0
2995,35682,2,04/09/2020,750.0
2996,46573,5,04/04/2020,1750.0
2998,86845,2,21/11/2020,220.0
3023,6742,2,06/03/2020,5100.0
3032,20029,4,27/02/2019,1470.0
3034,32890,2,16/08/2019,480.0
3035,74506,3,13/01/2020,1260.0
3042,68110,5,20/08/2020,2370.0
3048,3865,4,06/03/2020,13000.0
3061,17395,3,12/10/2019,2800.0
3065,84692,1,27/04/2020,1996.0
3070,81822,4,02/07/2020,1170.0
3075,6699,1,21/06/2020,960.0
3089,35682,1,26/02/2020,500.0
3096,56380,1,11/07/2019,1074.0
3103,89100,3,15/01/2021,21000.0
3111,100932,3,16/11/2020,3900.0
3112,12751,5,06/08/2019,800.0
3114,32890,2,05/10/2019,480.0
3116,100460,0,26/11/2020,1780.0
3118,3865,4,13/04/2020,6500.0
3124,9981,3,15/08/2020,24000.0
3129,71946,3,04/12/2020,290.0
3130,86544,2,14/03/2019,50.0
3140,71190,2,07/06/2019,1440.0
3145,43699,2,02/06/2020,338.0
3151,13705,5,25/01/2021,540.0
3153,39368,2,16/09/2020,1116.0
3161,48872,3,06/02/2020,120.0
3165,29510,1,11/05/2020,1440.0
3179,68110,1,11/04/2019,3160.0
3183,10795,1,06/02/2020,300.0
3194,45878,3,19/07/2019,630.0
3197,40082,3,11/05/2020,945.0
3198,53458,4,17/06/2019,2700.0
3205,85154,1,21/05/2020,420.0
3207,15470,1,16/02/2020,1180.0
3215,83866,2,13/02/2021,990.0
3219,75557,1,22/09/2020,180.0
3221,70240,1,05/05/2020,1450.0
3227,29893,3,28/07/2019,1680.0
3235,31,3,19/02/2021,360.0
3236,88368,3,06/03/2020,500.0
3239,23575,2,07/08/2020,210.0
3242,83866,1,12/10/2019,3960.0
3251,75706,1,20/10/2020,300.0
3253,45878,3,21/01/2021,420.0
3254,7729,4,26/12/2020,1080.0
3255,2706,5,27/05/2020,590.0
3258,43699,5,04/02/2021,1014.0
3263,45695,2,13/12/2020,240.0
3265,83866,4,06/08/2019,1980.0
3269,35682,5,13/09/2020,250.0
3282,55051,4,11/03/2020,2280.0
3286,18128,3,26/11/2020,3975.0
3292,51238,2,26/12/2020,2050.0
3297,53941,5,25/11/2019,280.0
3300,41518,5,06/03/2020,780.0
3312,27546,1,18/05/2019,672.0
3315,80644,2,15/03/2020,1980.0
3316,53458,4,30/01/2021,450.0
3317,86845,3,11/04/2019,330.0
3322,21516,2,28/05/2019,1280.0
3324,25562,1,03/09/2019,1600.0
3326,24159,4,15/01/2021,270.0
3330,45878,4,25/01/2021,210.0
3331,67445,2,13/02/2021,960.0
3336,93262,3,25/03/2020,900.0
3351,56350,2,01/07/2019,490.0
3352,8691,4,26/06/2020,360.0
3354,29510,1,26/12/2019,360.0
3361,17395,2,08/11/2020,5600.0
3364,85154,5,18/05/2019,1680.0
3371,29510,1,27/05/2020,1440.0
3373,70813,5,18/12/2020,480.0
3374,97039,1,12/02/2020,1920.0
3376,56571,2,01/02/2020,1680.0
3384,73038,4,20/08/2020,270.0
3395,8707,3,01/07/2019,300.0
3399,17258,3,12/02/2020,2100.0
3414,43054,5,03/09/2019,1600.0
3422,82257,5,19/11/2019,6400.0
3423,73038,4,07/06/2020,540.0
3425,8673,1,16/11/2020,490.0
3429,33349,4,22/09/2020,810.0
3432,59337,4,05/10/2019,1170.0
3442,57815,4,16/12/2020,300.0
3443,86243,3,05/01/2019,1400.0
3458,81822,5,18/04/2020,1170.0
3459,49497,5,12/03/2020,640.0
3465,58245,2,21/11/2020,120.0
3467,18212,3,07/06/2020,720.0
3468,39814,5,08/01/2020,1170.0
3476,53458,5,08/05/2020,1350.0
3477,31835,5,08/11/2020,798.0
3478,58472,5,15/10/2020,600.0
3479,6262,5,11/04/2019,1932.0
3483,77079,3,25/11/2019,400.0
3486,51238,2,27/08/2020,2050.0
3494,58245,4,18/05/2019,600.0
3510,61356,2,27/08/2020,2340.0
3515,77079,3,21/01/2021,200.0
3525,58245,1,06/01/2021,360.0
3535,38723,1,16/08/2019,400.0
3536,79551,5,06/12/2019,1740.0
3541,32986,3,26/06/2020,1890.0
3542,86544,2,16/07/2020,300.0
3545,62594,5,01/07/2019,1800.0
3557,29012,4,05/01/2019,2625.0
3561,89100,2,07/06/2019,16800.0
3566,57708,1,16/09/2020,4950.0
3567,88368,4,25/07/2020,1500.0
3568,39368,2,08/09/2020,279.0
3572,41189,4,21/02/2020,320.0
3574,4307,4,01/05/2020,12350.0
3582,53458,4,16/12/2020,2700.0
3584,7940,5,15/10/2020,4800.0
3585,61071,1,05/01/2019,1350.0
3607,7729,5,01/07/2019,1800.0
3610,29301,4,17/05/2020,1080.0
3614,100484,3,15/05/2020,320.0
3615,85154,4,01/07/2019,420.0
3617,41189,2,16/12/2020,960.0
3619,91498,1,17/02/2020,780.0
3628,89334,2,06/03/2020,2100.0
3638,29510,3,30/09/2020,720.0
3640,66135,2,06/12/2019,1470.0
3642,11218,3,26/12/2020,1250.0
3644,70813,2,12/06/2020,360.0
3647,23575,2,11/08/2020,210.0
3650,67445,2,27/08/2020,1600.0
3656,77558,5,17/12/2019,4740.0
3675,12895,1,27/01/2020,2600.0
3679,100484,1,28/02/2019,1920.0
3687,100961,3,06/01/2019,960.0
3688,80644,2,04/02/2021,5940.0
3689,44424,1,01/02/2020,2160.0
3691,20029,3,16/08/2019,588.0
3713,5292,2,21/07/2020,1152.0
3722,45695,2,06/01/2019,1200.0
3723,2706,2,26/04/2019,2360.0
3737,4553,5,11/05/2020,550.0
3740,81822,5,28/10/2019,1560.0
3743,13716,3,01/03/2020,2700.0
3747,20029,5,12/11/2019,882.0
3748,49026,1,14/03/2019,720.0
3753,46573,4,12/11/2019,700.0
3756,21429,5,03/01/2020,1170.0
3761,72621,1,01/05/2020,358.0
3762,83009,2,15/05/2020,1400.0
3767,55452,1,17/01/2020,700.0
3787,22407,4,08/05/2019,1200.0
3790,100939,5,05/10/2019,1240.0
3792,98964,4,11/12/2019,560.0
3797,3865,3,05/10/2019,13000.0
3800,98964,3,05/09/2020,1400.0
3801,17329,3,08/02/2019,1180.0
3804,75706,3,06/03/2020,100.0
3806,22568,3,17/12/2019,980.0
3809,91248,5,09/07/2020,135.0
3811,2706,3,21/01/2021,1770.0
3812,73692,0,27/06/2020,90.0
3820,6769,3,28/07/2019,880.0
3824,17329,1,07/06/2020,2950.0
3828,27336,1,12/02/2020,750.0
3831,42913,4,02/11/2020,15540.0
3834,12895,5,17/01/2020,5200.0
3836,29510,2,25/03/2020,720.0
3837,32890,5,11/04/2019,480.0
3843,12609,2,13/12/2020,960.0
3857,32890,3,28/02/2019,960.0
3861,74506,2,17/12/2019,840.0
3868,45979,1,08/05/2020,840.0
3870,59337,3,07/01/2019,1950.0
3872,98640,1,05/05/2020,2970.0
3873,11736,1,05/09/2020,3700.0
3879,81822,3,25/01/2021,1170.0
3887,40082,3,18/12/2020,1260.0
3892,21429,2,26/11/2020,780.0
3893,9809,4,17/06/2019,1560.0
